	ios_all_ratings	ios_current_ratings	ios_file_size	android_avg_rating	android_file_size	android_ratings_1	android_ratings_2	android_ratings_3	android_ratings_4	android_ratings_5	android_total_ratings
23-10-16 22:50	227526	3518	251	4	-9999	954846	278215	515166	833560	4245940	6827727
23-10-16 23:00	227526	3518	251	4	-9999	954846	278215	515166	833560	4245940	6827727
23-10-16 23:10	227526	3518	251	4	-9999	954846	278215	515166	833560	4245940	6827727
23-10-16 23:20	227526	3518	251	4	-9999	954846	278215	515166	833560	4245940	6827727
23-10-16 23:30	227526	3518	251	4	-9999	954846	278215	515166	833560	4245940	6827727
23-10-16 23:40	227567	3518	251	4	-9999	954831	278211	515160	833553	4245909	6827664
23-10-16 23:50	227567	3518	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 0:00	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 0:10	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 0:20	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 0:30	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 0:40	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 0:50	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 1:00	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 1:10	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 1:20	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 1:30	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 1:40	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 1:50	227567	3571	251	4	-9999	954831	278211	515160	833553	4245909	6827664
24-10-16 2:00	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 2:10	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 2:20	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 2:30	227567	3571	251	4	-9999	954846	278215	515166	833560	4245940	6827727
24-10-16 2:40	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 2:50	227567	3571	251	4	-9999	955019	278266	515232	833681	4246388	6828586
24-10-16 3:00	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 3:10	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 3:20	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 3:30	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 3:40	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 3:50	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 4:00	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 4:10	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 4:20	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 4:30	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 4:40	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 4:50	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 5:00	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 5:10	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 5:20	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 5:30	227567	3571	251	4	-9999	955019	278266	515232	833681	4246388	6828586
24-10-16 5:40	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 5:50	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 6:00	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 6:10	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 6:20	227567	3571	251	4	-9999	955033	278266	515241	833684	4246418	6828642
24-10-16 6:30	227567	3571	251	4	-9999	955273	278317	515328	833814	4246980	6829712
24-10-16 6:40	227567	3571	251	4	-9999	955296	278321	515334	833823	4247029	6829803
24-10-16 6:50	227567	3571	251	4	-9999	955296	278321	515334	833823	4247029	6829803
24-10-16 7:00	227567	3571	251	4	-9999	955296	278321	515334	833823	4247029	6829803
24-10-16 7:10	227567	3571	251	4	-9999	955296	278321	515334	833823	4247029	6829803
24-10-16 7:20	227567	3571	251	4	-9999	955296	278321	515334	833823	4247029	6829803
24-10-16 7:30	227567	3571	251	4	-9999	955296	278321	515334	833823	4247029	6829803
24-10-16 7:40	227567	3571	251	4	-9999	955296	278321	515334	833823	4247029	6829803
